filename	file_size_MB	spectrum_count	relative_path
UHM72-22470.mzML	81.67	15542	MSV000095549/raw/UHM72-22470.mzML
Blank-withIS_1.mzML	77.98	15589	MSV000095549/raw/Blank-withIS_1.mzML
UHM22-22456.mzML	78.18	15347	MSV000095549/raw/UHM22-22456.mzML
UHM31-22462.mzML	79.06	15317	MSV000095549/raw/UHM31-22462.mzML
UHM18-22438.mzML	79.55	15338	MSV000095549/raw/UHM18-22438.mzML
UHM102-22450.mzML	79.87	15431	MSV000095549/raw/UHM102-22450.mzML
UHM102-22454.mzML	83.90	15633	MSV000095549/raw/UHM102-22454.mzML
UHM125-22432.mzML	85.05	15600	MSV000095549/raw/UHM125-22432.mzML
UHM72-22448.mzML	80.75	15361	MSV000095549/raw/UHM72-22448.mzML
UHM17-22403.mzML	84.14	15643	MSV000095549/raw/UHM17-22403.mzML
UHM44-10852.mzML	79.11	15333	MSV000095549/raw/UHM44-10852.mzML
UHM38-22418.mzML	77.54	15280	MSV000095549/raw/UHM38-22418.mzML
UHM41-22468.mzML	79.04	15375	MSV000095549/raw/UHM41-22468.mzML
UHM45-22434.mzML	78.12	15337	MSV000095549/raw/UHM45-22434.mzML
UHM27-10844.mzML	79.18	15363	MSV000095549/raw/UHM27-10844.mzML
UHM145-22422.mzML	78.72	15346	MSV000095549/raw/UHM145-22422.mzML
BE1.mzML	80.38	15480	MSV000095549/raw/BE1.mzML
UHM20-22442.mzML	78.55	15336	MSV000095549/raw/UHM20-22442.mzML
UHM56-22414.mzML	78.56	15351	MSV000095549/raw/UHM56-22414.mzML
UHM145-22426.mzML	84.51	15595	MSV000095549/raw/UHM145-22426.mzML
UHM40-10849.mzML	79.55	15301	MSV000095549/raw/UHM40-10849.mzML
UHM40-22410.mzML	79.96	15391	MSV000095549/raw/UHM40-22410.mzML
