filename	filename_ms1	sample_id	subject_id	replicate_or_accession	sample_type	species	tissue	collection_date	treatment_group	notes	host_genus	host_species	host_sex	animal_type	collection_event	treatment	egg_mass	tank	geo_loc_name	state	gps_lat	gps_lon	collector	metamorphosis_date	basidiobolus_feeding_date	parent_biosample_collection_date	chem_sample_type	n_pooled_biosamples	animal_notes_lab
BE1.mzML	BE1_MS1.mzML	BE1			QC_blank_extract																								
BE2.mzML	BE2_MS1.mzML	BE2			QC_blank_extract																								
BE3.mzML	BE3_MS1.mzML	BE3			QC_blank_extract																								
Blank_MeOH.mzML	Blank_MeOH_MS1.mzML	Blank_MeOH			QC_blank_solvent																								
Blank-withIS_1.mzML	Blank-withIS_1_MS1.mzML	Blank-withIS_1			QC_blank_with_internal_standard																								
Blank-withIS_2.mzML	Blank-withIS_2_MS1.mzML	Blank-withIS_2			QC_blank_with_internal_standard																								
Blank-withIS_3.mzML	Blank-withIS_3_MS1.mzML	Blank-withIS_3			QC_blank_with_internal_standard																								
UHM40-22412.mzML	UHM40-22412_MS1.mzML	UHM40-22412	UHM40	22412.0	sample	Lithobates sylvaticus	fecal	2022-05-13	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-05-13		15.0	
UHM41-10850.mzML	UHM41-10850_MS1.mzML	UHM41-10850	UHM41	10850.0	sample	Lithobates sylvaticus	fecal	2022-03-17	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-03-17		13.0	
UHM41-22466.mzML	UHM41-22466_MS1.mzML	UHM41-22466	UHM41	22466.0	sample	Lithobates sylvaticus	fecal	2022-04-11	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-04-11		14.0	
UHM41-22468.mzML	UHM41-22468_MS1.mzML	UHM41-22468	UHM41	22468.0	sample	Lithobates sylvaticus	fecal	2022-05-11	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	3.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-05-11		16.0	
UHM43-10851.mzML	UHM43-10851_MS1.mzML	UHM43-10851	UHM43	10851.0	sample	Lithobates sylvaticus	fecal	2022-03-17	control		Lithobates	sylvaticus		frog	Walker	control	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-03-17		13.0	
UHM44-10852.mzML	UHM44-10852_MS1.mzML	UHM44-10852	UHM44	10852.0	sample	Lithobates sylvaticus	fecal	2022-03-18	STP1717.1 pilot		Lithobates	sylvaticus		frog	Walker	STP1717.1 pilot	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-03-18		13.0	
UHM45-10853.mzML	UHM45-10853_MS1.mzML	UHM45-10853	UHM45	10853.0	sample	Lithobates sylvaticus	fecal	2022-03-17	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-03-17		12.0	
UHM45-22434.mzML	UHM45-22434_MS1.mzML	UHM45-22434	UHM45	22434.0	sample	Lithobates sylvaticus	fecal	2022-04-11	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-04-11		14.0	
UHM45-22436.mzML	UHM45-22436_MS1.mzML	UHM45-22436	UHM45	22436.0	sample	Lithobates sylvaticus	fecal	2022-05-09	STP1710.7 pilot		Lithobates	sylvaticus		frog	Walker	STP1710.7 pilot	3.0	5.0	Bridgestone Firestone WMA	TN			Romer	2022-03-10	2022-03-15	2022-05-09		15.0	
UHM56-10854.mzML	UHM56-10854_MS1.mzML	UHM56-10854	UHM56	10854.0	sample	Lithobates sylvaticus	fecal	2022-03-21	control		Lithobates	sylvaticus		frog	Walker	control	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-13	2022-03-17	2022-03-21		14.0	
UHM56-22414.mzML	UHM56-22414_MS1.mzML	UHM56-22414	UHM56	22414.0	sample	Lithobates sylvaticus	fecal	2022-04-11	control		Lithobates	sylvaticus		frog	Walker	control	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-13	2022-03-17	2022-04-11		13.0	
UHM56-22416.mzML	UHM56-22416_MS1.mzML	UHM56-22416	UHM56	22416.0	sample	Lithobates sylvaticus	fecal	2022-05-12	control		Lithobates	sylvaticus		frog	Walker	control	1.0	4.0	Bridgestone Firestone WMA	TN			Romer	2022-03-13	2022-03-17	2022-05-12		18.0	
UHM72-22446.mzML	UHM72-22446_MS1.mzML	UHM72-22446	UHM72	22446.0	sample	Lithobates sylvaticus	fecal	2022-03-24	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-17	2022-03-22	2022-03-24		14.0	
UHM72-22448.mzML	UHM72-22448_MS1.mzML	UHM72-22448	UHM72	22448.0	sample	Lithobates sylvaticus	fecal	2022-04-20	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-17	2022-03-22	2022-04-20		16.0	
UHM72-22470.mzML	UHM72-22470_MS1.mzML	UHM72-22470	UHM72	22470.0	sample	Lithobates sylvaticus	fecal	2022-05-19	control		Lithobates	sylvaticus		frog	Walker	control	2.0	2.0	Bridgestone Firestone WMA	TN			Romer	2022-03-17	2022-03-22	2022-05-19		16.0	
